"week","label","cnt","freq"
1,"Negative",1357,0.485
1,"Neutral",1385,0.495
1,"Positive",58,0.021
2,"Negative",1037,0.37
2,"Neutral",1705,0.609
2,"Positive",58,0.021
3,"Negative",1182,0.422
3,"Neutral",1542,0.551
3,"Positive",76,0.027
4,"Negative",1317,0.47
4,"Neutral",1449,0.517
4,"Positive",34,0.012
5,"Negative",1398,0.499
5,"Neutral",1362,0.486
5,"Positive",40,0.014
6,"Negative",1376,0.491
6,"Neutral",1369,0.489
6,"Positive",55,0.02
7,"Negative",1379,0.492
7,"Neutral",1373,0.49
7,"Positive",48,0.017
8,"Negative",1324,0.473
8,"Neutral",1406,0.502
8,"Positive",70,0.025
9,"Negative",1369,0.489
9,"Neutral",1383,0.494
9,"Positive",48,0.017
10,"Negative",1617,0.578
10,"Neutral",1088,0.389
10,"Positive",95,0.034
11,"Negative",1660,0.593
11,"Neutral",1064,0.38
11,"Positive",76,0.027
12,"Negative",1691,0.604
12,"Neutral",1037,0.37
12,"Positive",72,0.026
13,"Negative",1667,0.595
13,"Neutral",1041,0.372
13,"Positive",92,0.033
14,"Negative",1621,0.579
14,"Neutral",1101,0.393
14,"Positive",78,0.028
15,"Negative",1661,0.593
15,"Neutral",1067,0.381
15,"Positive",72,0.026
16,"Negative",1694,0.605
16,"Neutral",1032,0.369
16,"Positive",74,0.026
17,"Negative",1688,0.603
17,"Neutral",1050,0.375
17,"Positive",62,0.022
18,"Negative",1595,0.57
18,"Neutral",1126,0.402
18,"Positive",79,0.028
19,"Negative",1660,0.593
19,"Neutral",1048,0.374
19,"Positive",92,0.033
20,"Negative",1662,0.594
20,"Neutral",1054,0.376
20,"Positive",84,0.03
21,"Negative",1701,0.608
21,"Neutral",991,0.354
21,"Positive",108,0.039
NA,"Neutral",4,1
