"Week","label","cnt","freq"
1,"Negative",911,0.609
1,"Neutral",548,0.367
1,"Positive",36,0.024
2,"Negative",2007,0.577
2,"Neutral",1387,0.399
2,"Positive",86,0.025
3,"Negative",1928,0.555
3,"Neutral",1445,0.416
3,"Positive",102,0.029
4,"Negative",2115,0.608
4,"Neutral",1310,0.377
4,"Positive",54,0.016
5,"Negative",2287,0.656
5,"Neutral",1138,0.327
5,"Positive",59,0.017
6,"Negative",2208,0.632
6,"Neutral",1211,0.346
6,"Positive",76,0.022
7,"Negative",2281,0.655
7,"Neutral",1141,0.327
7,"Positive",62,0.018
8,"Negative",2221,0.638
8,"Neutral",1193,0.343
8,"Positive",68,0.02
9,"Negative",2244,0.646
9,"Neutral",1165,0.335
9,"Positive",67,0.019
10,"Negative",2332,0.668
10,"Neutral",1055,0.302
10,"Positive",104,0.03
11,"Negative",2511,0.718
11,"Neutral",889,0.254
11,"Positive",95,0.027
12,"Negative",2535,0.726
12,"Neutral",883,0.253
12,"Positive",73,0.021
13,"Negative",2516,0.721
13,"Neutral",890,0.255
13,"Positive",84,0.024
14,"Negative",2471,0.709
14,"Neutral",936,0.269
14,"Positive",77,0.022
15,"Negative",2455,0.704
15,"Neutral",957,0.274
15,"Positive",75,0.022
16,"Negative",2514,0.721
16,"Neutral",892,0.256
16,"Positive",81,0.023
17,"Negative",2539,0.728
17,"Neutral",859,0.246
17,"Positive",92,0.026
18,"Negative",2474,0.709
18,"Neutral",926,0.265
18,"Positive",91,0.026
19,"Negative",2482,0.71
19,"Neutral",930,0.266
19,"Positive",84,0.024
20,"Negative",2534,0.728
20,"Neutral",870,0.25
20,"Positive",75,0.022
21,"Negative",2501,0.717
21,"Neutral",878,0.252
21,"Positive",111,0.032
22,"Negative",2497,0.716
22,"Neutral",902,0.259
22,"Positive",89,0.026
23,"Negative",362,0.724
23,"Neutral",128,0.256
23,"Positive",10,0.02
