,Unnamed: 0,tweetcreatedts,text,language,username,label,score
0,0,2021-12-27 00:30:48+00:00,"@NashaCanada Не то и не тругое НATO и США! Понимаю что живёте в Канаде, но бургу тоже не надо нести!",ru,minu_nimi,neutral,0.5080060958862305
1,0,2022-01-07 15:52:33+00:00,"Каждая страна имеет право выбирать сама, присоединится ли она к какому-либо договору или альянсу.\n\n#НATO | #ForMin https://t.co/zM9rPG5MAc",ru,NATOpoRusski,neutral,0.9980356097221375
2,0,2022-01-20 01:06:51+00:00,"ну и чего Европа и НATO ""голосят"" ?  мы окружены военными базами НАТО и вправе делать, что пожелаем! https://t.co/0Sja59f4aI",ru,Anna27Annushka,neutral,0.9929565191268921
3,0,2022-02-07 22:17:45+00:00,"@VRSoloviev хватит лапшу вешать...российские власти делают всё чтобы страны НATO богатели за счёт народа России и бывшего постсовета .Вот чьи интересы и права игнорируются.Нахер надо было базу на Кубе сворачивать, если вас там типа ""игнорировали""? чьи интересы вы  в тот момент представляли?",ru,LIRA2511,negative,0.8300237059593201
4,0,2022-02-25 12:11:29+00:00,@m_zorigt НATO - зэвсэг техник цэргээ оруулах эрх даан ч байхгүй гишүүн биш ш дээ,ru,EnkhtuyaDendev,neutral,0.9953234791755676
5,0,2022-03-01 10:17:53+00:00,"Они планируют наступать на восточную Европу. Восточная Европа не будет вести войну. Там НATO. Они не добьются союза, а только разрушат Украину.  Кому это выгодно, никому !",ru,blocked_ghost,negative,0.8645539879798889
6,0,2022-03-02 07:25:46+00:00,"@anniejakie @wisniais мама говорит, что на украину многим насрать на самом деле. это все типа из-за омэрики ведется. те же в нato их не берут и не возьмут, потому что ""что с них взять"" ну и говорит, что те ток попрашайничают, а взамен ничего. также и с газом было. поэтому и с ес под вопросом. ну хз.",ru,Marie_Zv,negative,0.8846805095672607
7,0,2022-03-25 17:34:19+00:00,Гран-Плас / Гроте Маркт освещён синим цветом #НATO на этой неделе #NATOSummit #НАТОСаммит\n\nСпасибо принимающей стране Бельгии! 🇧🇪 https://t.co/rp4wCISUND,ru,NATOpoRusski,neutral,0.9968327879905701
8,0,2022-04-10 22:05:52+00:00,"НATO нацелено, между прочим, на подавление национальных принципов и интересов всех стран в интерсах их EU- US Elite.",ru,blocked_ghost,neutral,0.998239278793335
9,0,2022-04-18 15:45:32+00:00,@artmnv @NikNPf НATO в ВСУ просится будет под защиту …,ru,VW7w5sjwhc2,neutral,0.9967470169067383
10,0,2022-04-21 16:44:30+00:00,"@putin4russia Так ведь и CШA с НATO вправе считать законной целью транспорт pф с оружием, если он следует по территории Украины",ru,VitalyNaletov,neutral,0.9910308122634888
